,,,0.388,-0.0728
,,,0.39,-0.0696
,,,0.392,-0.0632
,,,0.394,-0.0544
,,,0.396,-0.044
,,,0.398,-0.0336
,,,0.4,-0.0224
,,,0.402,-0.0112
,,,0.404,0
,,,0.406,0.0112
,,,0.408,0.0216
,,,0.41,0.0312
,,,0.412,0.0416
,,,0.414,0.0496
,,,0.416,0.0568
,,,0.418,0.0616
,,,0.42,0.0656
,,,0.422,0.0672
,,,0.424,0.0672
,,,0.426,0.0648
,,,0.428,0.0616
,,,0.43,0.0568
,,,0.432,0.0488
,,,0.434,0.0376
,,,0.436,0.0272
,,,0.438,0.0136
,,,0.44,0
,,,0.442,-0.0152
,,,0.444,-0.0288
,,,0.446,-0.0416
,,,0.448,-0.0528
,,,0.45,-0.0624
,,,0.452,-0.068
,,,0.454,-0.0712
,,,0.456,-0.0728
,,,0.458,-0.0712
,,,0.46,-0.068
,,,0.462,-0.0624
,,,0.464,-0.0544
,,,0.466,-0.0448
,,,0.468,-0.0336
,,,0.47,-0.0232
,,,0.472,-0.0112
,,,0.474,0.0016
,,,0.476,0.0112
,,,0.478,0.0224
,,,0.48,0.0328
,,,0.482,0.0408
,,,0.484,0.0488
,,,0.486,0.0536
,,,0.488,0.0608
,,,0.49,0.064
,,,0.492,0.0656
,,,0.494,0.0672
,,,0.496,0.0656
,,,0.498,0.0616
,,,0.5,0.056
,,,0.502,0.0488
,,,0.504,0.0368
,,,0.506,0.0256
,,,0.508,0.0128
,,,0.51,-0.0016
,,,0.512,-0.0152
,,,0.514,-0.028
,,,0.516,-0.04
,,,0.518,-0.0512
,,,0.52,-0.06
,,,0.522,-0.068
,,,0.524,-0.0712
,,,0.526,-0.0736
,,,0.528,-0.0712
,,,0.53,-0.068
,,,0.532,-0.0616
,,,0.534,-0.0528
,,,0.536,-0.0424
,,,0.538,-0.032
,,,0.54,-0.0216
,,,0.542,-0.0112
,,,0.544,0
,,,0.546,0.0104
,,,0.548,0.0208
,,,0.55,0.0304
,,,0.552,0.04
,,,0.554,0.0488
,,,0.556,0.0552
,,,0.558,0.06
,,,0.56,0.064
,,,0.562,0.0648
,,,0.564,0.0664
,,,0.566,0.064
,,,0.568,0.06
,,,0.57,0.0544
,,,0.572,0.0464
,,,0.574,0.0368
,,,0.576,0.0264
,,,0.578,0.0136
,,,0.58,0
,,,0.582,-0.0144
,,,0.584,-0.028
,,,0.586,-0.0408
,,,0.588,-0.052
,,,0.59,-0.0608
,,,0.592,-0.0664
,,,0.594,-0.0696
,,,0.596,-0.0712
,,,0.598,-0.0696
,,,0.6,-0.0656
,,,0.602,-0.0608
,,,0.604,-0.0536
,,,0.606,-0.044
,,,0.608,-0.0336
,,,0.61,-0.0224
,,,0.612,-0.0104
,,,0.614,0.0016
,,,0.616,0.012
,,,0.618,0.0224
,,,0.62,0.0312
,,,0.622,0.04
,,,0.624,0.048
,,,0.626,0.0536
,,,0.628,0.06
,,,0.63,0.0624
,,,0.632,0.0648
,,,0.634,0.0656
,,,0.636,0.0648
,,,0.638,0.06
,,,0.64,0.0544
,,,0.642,0.0464
,,,0.644,0.0352
,,,0.646,0.024
,,,0.648,0.012
,,,0.65,-0.0024
,,,0.652,-0.0144
,,,0.654,-0.0272
,,,0.656,-0.0384
,,,0.658,-0.0504
,,,0.66,-0.0592
,,,0.662,-0.0648
,,,0.664,-0.0696
,,,0.666,-0.0712
,,,0.668,-0.0704
,,,0.67,-0.0664
,,,0.672,-0.0592
,,,0.674,-0.052
,,,0.676,-0.0416
,,,0.678,-0.032
,,,0.68,-0.0208
,,,0.682,-0.0104
,,,0.684,0
,,,0.686,0.0104
,,,0.688,0.0216
,,,0.69,0.0304
,,,0.692,0.04
,,,0.694,0.048
,,,0.696,0.0544
,,,0.698,0.0584
,,,0.7,0.0632
,,,0.702,0.0648
,,,0.704,0.064
,,,0.706,0.0624
,,,0.708,0.0592
,,,0.71,0.0536
,,,0.712,0.0448
,,,0.714,0.0352
,,,0.716,0.0248
,,,0.718,0.012
,,,0.72,-0.0008
,,,0.722,-0.0144
,,,0.724,-0.028
,,,0.726,-0.04
,,,0.728,-0.0504
,,,0.73,-0.0592
,,,0.732,-0.0648
,,,0.734,-0.068
,,,0.736,-0.0696
,,,0.738,-0.068
,,,0.74,-0.064
,,,0.742,-0.0584
,,,0.744,-0.0512
,,,0.746,-0.0432
,,,0.748,-0.032
,,,0.75,-0.0216
,,,0.752,-0.0104
,,,0.754,0.0016
,,,0.756,0.012
,,,0.758,0.0208
,,,0.76,0.0312
,,,0.762,0.0384
,,,0.764,0.0456
,,,0.766,0.0528
,,,0.768,0.0584
,,,0.77,0.0608
,,,0.772,0.0632
,,,0.774,0.064
,,,0.776,0.0632
,,,0.778,0.0584
,,,0.78,0.052
,,,0.782,0.0448
,,,0.784,0.0336
,,,0.786,0.0232
,,,0.788,0.0112
,,,0.79,-0.0024
,,,0.792,-0.0144
,,,0.794,-0.0264
,,,0.796,-0.0384
,,,0.798,-0.0488
,,,0.8,-0.0584
,,,0.802,-0.064
,,,0.804,-0.068
,,,0.806,-0.0688
,,,0.808,-0.068
,,,0.81,-0.064
,,,0.812,-0.0584
,,,0.814,-0.0504
,,,0.816,-0.0408
,,,0.818,-0.0312
,,,0.82,-0.02
,,,0.822,-0.0088
,,,0.824,0.0008
,,,0.826,0.0104
,,,0.828,0.0208
,,,0.83,0.0304
,,,0.832,0.0384
,,,0.834,0.0472
,,,0.836,0.0536
